Item	Name	InUse	Type	primary_key	NotNull	Unique	Default	FK_Table	FK_Column	onCopy	Comment
	entityId	TRUE	uuid	FALSE	FALSE	FALSE				FALSE	Глобальный ID записи справочника.
	dictTypeName	TRUE	varchar(32)	FALSE	TRUE	FALSE	'Project Type'			FALSE	Константа - идентификатор справочника / словаря. Не используется при загрузке / вставке / обновлении
	dictStringValue	TRUE	varchar(255)	FALSE	FALSE	TRUE				TRUE	Строковое значение записи справочника (UNIQUE or NULL в пределах справочника)
	dictMoneyValue	TRUE	decimal(15,4)	FALSE	FALSE	TRUE				TRUE	Значение типа Money записи справочника (UNIQUE or NULL в пределах справочника)
	dictNumberValue	TRUE	decimal(15,4)	FALSE	FALSE	TRUE				TRUE	Числовое значение записи справочника (UNIQUE or NULL в пределах справочника)
	isActive	TRUE	bool	FALSE	FALSE	FALSE				TRUE	Локальный статус активности любого из используемых значений. True - значение может использовться для новых записей.
#	metaSourceName	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Meta - Наименование внешнего источника
#	metaSourceTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения во внешнем источнике
#	metaSourceRowLoadedAt	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Дата/время первичной загрузки данных из внешнего источника. Формат YYYY-MM-DD (ISO 8601)
#	metaSourceRowVersion	TRUE	bigint	FALSE	FALSE	FALSE				TRUE	Meta - Номер версии во внешнем источнике
#	metaLocalTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения в данной таблице
#	metaRowAllowed	TRUE	bool	FALSE	TRUE	FALSE				TRUE	Meta - Признак активности данных в текущей строке (TRUE - строка активна)
#	metaRowValidTo	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Предельный срок валидности данных в текущей строке. Формат YYYY-MM-DDTHH:MM:SS (ISO 8601). NULL - срок валидности не установлен. Данные валидны без ограничения по сроку.
	updatedAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата последнего обновления. Формат YYYY-MM-DD (ISO 8601)
	createdAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата создания записи в локальном справочнике (кеше). Формат YYYY-MM-DDTHH:MM:SS (ISO 8601).
--- end of table		FALSE		FALSE	FALSE	FALSE				TRUE	
Table	ldProjectStatuses	TRUE		FALSE	FALSE	FALSE				FALSE	Локальный справочник - статусы проектов
	id	TRUE	serial	FALSE	TRUE	TRUE	 			FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локальной записи справочника.
	entityId	TRUE	uuid	FALSE	FALSE	FALSE				FALSE	Глобальный ID записи справочника.
	dictTypeName	TRUE	varchar(32)	FALSE	TRUE	FALSE	'Project Status'			FALSE	Константа - идентификатор справочника / словаря. Не используется при загрузке / вставке / обновлении
	dictStringValue	TRUE	varchar(255)	FALSE	FALSE	TRUE				TRUE	Строковое значение записи справочника (UNIQUE or NULL в пределах справочника)
	dictMoneyValue	TRUE	decimal(15,4)	FALSE	FALSE	TRUE				TRUE	Значение типа Money записи справочника (UNIQUE or NULL в пределах справочника)
	dictNumberValue	TRUE	decimal(15,4)	FALSE	FALSE	TRUE				TRUE	Числовое значение записи справочника (UNIQUE or NULL в пределах справочника)
	isActive	TRUE	bool	FALSE	FALSE	FALSE				TRUE	Локальный статус активности любого из используемых значений. True - значение может использовться для новых записей.
#	metaSourceName	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Meta - Наименование внешнего источника
#	metaSourceTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения во внешнем источнике
#	metaSourceRowLoadedAt	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Дата/время первичной загрузки данных из внешнего источника. Формат YYYY-MM-DD (ISO 8601)
#	metaSourceRowVersion	TRUE	bigint	FALSE	FALSE	FALSE				TRUE	Meta - Номер версии во внешнем источнике
#	metaLocalTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения в данной таблице
#	metaRowAllowed	TRUE	bool	FALSE	TRUE	FALSE				TRUE	Meta - Признак активности данных в текущей строке (TRUE - строка активна)
#	metaRowValidTo	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Предельный срок валидности данных в текущей строке. Формат YYYY-MM-DDTHH:MM:SS (ISO 8601). NULL - срок валидности не установлен. Данные валидны без ограничения по сроку.
	updatedAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата последнего обновления. Формат YYYY-MM-DD (ISO 8601)
	createdAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата создания записи в локальном справочнике (кеше). Формат YYYY-MM-DDTHH:MM:SS (ISO 8601).
--- end of table		FALSE		FALSE	FALSE	FALSE				FALSE	
Table	ldProjectPartyTypes	TRUE		FALSE	FALSE	FALSE				FALSE	Локальный справочник - Тип "участника проекта строительства"
	id	TRUE	serial	FALSE	TRUE	TRUE	 			FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локальной записи справочника.
	entityId	TRUE	uuid	FALSE	FALSE	FALSE				FALSE	Глобальный ID записи справочника.
	dictTypeName	TRUE	varchar(32)	FALSE	TRUE	FALSE	'Project Party'			FALSE	Константа - идентификатор справочника / словаря. Не используется при загрузке / вставке / обновлении
	dictStringValue	TRUE	varchar(255)	FALSE	FALSE	TRUE				TRUE	Строковое значение записи справочника (UNIQUE or NULL в пределах справочника)
	dictMoneyValue	TRUE	decimal(15,4)	FALSE	FALSE	TRUE				TRUE	Значение типа Money записи справочника (UNIQUE or NULL в пределах справочника)
	dictNumberValue	TRUE	decimal(15,4)	FALSE	FALSE	TRUE				TRUE	Числовое значение записи справочника (UNIQUE or NULL в пределах справочника)
	isActive	TRUE	bool	FALSE	FALSE	FALSE				TRUE	Локальный статус активности любого из используемых значений. True - значение может использовться для новых записей.
#	metaSourceName	TRUE	varchar(50)	FALSE	FALSE	FALSE				TRUE	Meta - Наименование внешнего источника
#	metaSourceTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения во внешнем источнике
#	metaSourceRowLoadedAt	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Дата/время первичной загрузки данных из внешнего источника. Формат YYYY-MM-DD (ISO 8601)
#	metaSourceRowVersion	TRUE	bigint	FALSE	FALSE	FALSE				TRUE	Meta - Номер версии во внешнем источнике
#	metaLocalTimeStamp	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Timestamp последнего изменения в данной таблице
#	metaRowAllowed	TRUE	bool	FALSE	TRUE	FALSE				TRUE	Meta - Признак активности данных в текущей строке (TRUE - строка активна)
#	metaRowValidTo	TRUE	timestamp	FALSE	FALSE	FALSE				TRUE	Meta - Предельный срок валидности данных в текущей строке. Формат YYYY-MM-DDTHH:MM:SS (ISO 8601). NULL - срок валидности не установлен. Данные валидны без ограничения по сроку.
	updatedAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата последнего обновления. Формат YYYY-MM-DD (ISO 8601)
	createdAt	TRUE	timestamp	FALSE	TRUE	FALSE	now()			FALSE	Дата создания записи в локальном справочнике (кеше). Формат YYYY-MM-DDTHH:MM:SS (ISO 8601).
--- end of table		FALSE		FALSE	FALSE	FALSE				FALSE	
Table	ProjectEntity	TRUE		FALSE	FALSE	FALSE				FALSE	Данные (карточка) проекта
	id	TRUE	serial	FALSE	TRUE	TRUE	 			FALSE	Локальный порядковый Id. PK / Индексом не является. Не может использоваться в качестве пары в PK/FK Relation
	localId	TRUE	uuid	TRUE	TRUE	TRUE	gen_random_uuid()			TRUE	ID локального кэша проекта.
	entityId	TRUE	uuid	FALSE	FALSE	FALSE				FALSE	Глобальный ID проекта (карточки)
